"Time","0","1","2","3"
2024-08-06 10:25:00,4.50%,4.45%,4.28%,4.14%
2024-08-06 10:27:30,4.08%,3.81%,4.12%,4.04%
2024-08-06 10:30:00,4.37%,4.35%,4.32%,4.30%
2024-08-06 10:32:30,3.57%,3.42%,3.59%,3.42%
2024-08-06 10:35:00,3.97%,3.96%,4.02%,4.04%
2024-08-06 10:37:30,3.49%,3.38%,3.56%,3.41%
2024-08-06 10:40:00,4.04%,4.00%,4.08%,3.81%
2024-08-06 10:42:30,3.41%,3.41%,3.67%,3.50%
2024-08-06 10:45:00,3.87%,3.74%,3.94%,3.99%
2024-08-06 10:47:30,3.62%,3.58%,3.56%,3.47%
2024-08-06 10:50:00,3.96%,3.90%,3.95%,3.93%
2024-08-06 10:52:30,3.52%,3.51%,3.63%,3.63%
2024-08-06 10:55:00,3.78%,3.93%,3.89%,3.75%
2024-08-06 10:57:30,12.7%,11.8%,12.8%,12.5%
2024-08-06 11:00:00,11.4%,11.2%,11.1%,11.1%
2024-08-06 11:02:30,11.0%,11.0%,11.3%,11.3%
2024-08-06 11:05:00,4.77%,4.51%,4.65%,4.43%
2024-08-06 11:07:30,15.6%,16.3%,16.6%,16.2%
2024-08-06 11:10:00,18.3%,18.4%,18.3%,17.6%
2024-08-06 11:12:30,18.5%,18.1%,18.4%,16.8%
2024-08-06 11:15:00,6.17%,6.04%,5.90%,5.91%
2024-08-06 11:17:30,3.91%,3.75%,3.65%,3.84%
2024-08-06 11:20:00,5.00%,4.75%,4.80%,4.69%
2024-08-06 11:22:30,20.0%,20.1%,19.9%,19.7%
2024-08-06 11:25:00,20.0%,20.1%,19.9%,19.9%
2024-08-06 11:30:00,3.72%,3.65%,3.80%,3.76%
2024-08-06 11:32:30,3.92%,3.97%,4.04%,3.84%
2024-08-06 11:35:00,6.48%,6.38%,6.14%,6.34%
2024-08-06 11:37:30,21.2%,21.4%,21.1%,21.1%
2024-08-06 11:42:30,22.1%,22.1%,22.1%,22.0%