"Time","192.168.49.2:9100"
2024-08-06 11:02:00,45.2%
2024-08-06 11:03:00,44.4%
2024-08-06 11:04:00,39.3%
2024-08-06 11:05:00,33.0%
2024-08-06 11:06:00,26.4%
2024-08-06 11:07:00,30.2%
2024-08-06 11:08:00,39.3%
2024-08-06 11:09:00,51.3%
2024-08-06 11:10:00,63.9%
2024-08-06 11:11:00,73.3%
2024-08-06 11:12:00,72.9%
2024-08-06 11:13:00,73.0%
2024-08-06 11:14:00,64.2%
2024-08-06 11:15:00,52.9%
2024-08-06 11:16:00,40.2%
2024-08-06 11:17:00,27.3%
2024-08-06 11:18:00,18.1%
2024-08-06 11:19:00,15.3%
2024-08-06 11:20:00,16.4%
2024-08-06 11:21:00,30.5%
2024-08-06 11:22:00,44.7%
2024-08-06 11:23:00,59.2%
2024-08-06 11:24:00,73.6%
2024-08-06 11:25:00,79.7%
2024-08-06 11:28:00,79.2%
2024-08-06 11:29:00,68.2%
2024-08-06 11:30:00,53.7%
2024-08-06 11:31:00,41.1%
2024-08-06 11:32:00,27.2%
2024-08-06 11:33:00,15.2%
2024-08-06 11:34:00,15.1%
2024-08-06 11:35:00,18.6%
2024-08-06 11:37:00,47.4%
2024-08-06 11:42:00,79.9%
2024-08-06 11:43:00,93.5%
2024-08-06 11:44:00,88.6%