"Time","1m load average","5m load average","15m load average","logical cores"
2024-08-06 10:30:00,0.500,1.36,0.920,4
2024-08-06 10:31:00,0.440,1.20,0.890,4
2024-08-06 10:32:00,1.01,1.21,0.910,4
2024-08-06 10:33:00,0.970,1.16,0.910,4
2024-08-06 10:34:00,0.800,1.06,0.890,4
2024-08-06 10:35:00,2.48,1.41,1.02,4
2024-08-06 10:36:00,1.85,1.35,1.02,4
2024-08-06 10:37:00,0.890,1.18,0.980,4
2024-08-06 10:38:00,0.950,1.11,0.970,4
2024-08-06 10:39:00,1,1.10,0.970,4
2024-08-06 10:40:00,1.56,1.30,1.06,4
2024-08-06 10:41:00,0.700,1.09,1,4
2024-08-06 10:42:00,0.370,0.920,0.950,4
2024-08-06 10:43:00,0.840,1,0.970,4
2024-08-06 10:44:00,1.54,1.12,1.01,4
2024-08-06 10:45:00,1.70,1.18,1.04,4
2024-08-06 10:46:00,0.660,0.980,0.980,4
2024-08-06 10:47:00,0.740,0.930,0.960,4
2024-08-06 10:48:00,0.370,0.800,0.910,4
2024-08-06 10:49:00,0.350,0.710,0.870,4
2024-08-06 10:50:00,0.950,0.760,0.870,4
2024-08-06 10:51:00,0.940,0.760,0.870,4
2024-08-06 10:52:00,0.810,0.740,0.850,4
2024-08-06 10:53:00,0.800,0.730,0.830,4
2024-08-06 10:54:00,0.850,0.750,0.830,4
2024-08-06 10:55:00,0.900,0.780,0.830,4
2024-08-06 10:56:00,1.06,0.810,0.840,4
2024-08-06 10:57:00,3.73,1.71,1.15,4
2024-08-06 10:58:00,3.43,2.01,1.29,4
2024-08-06 10:59:00,3.55,2.35,1.46,4
2024-08-06 11:00:00,4.17,2.73,1.64,4
2024-08-06 11:01:00,3.63,2.77,1.72,4
2024-08-06 11:02:00,4.94,3.31,1.98,4
2024-08-06 11:03:00,6.75,4.17,2.36,4
2024-08-06 11:04:00,4.07,3.82,2.35,4
2024-08-06 11:05:00,2.11,3.30,2.26,4
2024-08-06 11:06:00,0.880,2.73,2.13,4
2024-08-06 11:07:00,8.44,4.31,2.69,4
2024-08-06 11:08:00,10.9,5.66,3.25,4
2024-08-06 11:09:00,12.3,6.73,3.76,4
2024-08-06 11:10:00,10.1,7.19,4.10,4
2024-08-06 11:11:00,16.8,9.22,4.97,4
2024-08-06 11:12:00,16.1,10.6,5.71,4
2024-08-06 11:13:00,14.7,11.0,6.17,4
2024-08-06 11:14:00,10.4,10.6,6.32,4
2024-08-06 11:15:00,4.18,8.77,5.97,4
2024-08-06 11:16:00,1.85,7.28,5.63,4
2024-08-06 11:17:00,1.15,6.10,5.33,4
2024-08-06 11:18:00,1.20,5.20,5.06,4
2024-08-06 11:19:00,0.580,4.28,4.75,4
2024-08-06 11:20:00,1.31,3.76,4.54,4
2024-08-06 11:21:00,17.8,7.64,5.80,4
2024-08-06 11:22:00,28.2,12.5,7.61,4
2024-08-06 11:23:00,22.9,14.1,8.46,4
2024-08-06 11:24:00,27.0,17.2,9.92,4
2024-08-06 11:25:00,25.9,19.2,11.1,4
2024-08-06 11:27:00,42.7,32.3,17.2,4
2024-08-06 11:28:00,27.9,30.2,17.4,4
2024-08-06 11:29:00,12.3,25.5,16.6,4
2024-08-06 11:30:00,4.75,20.9,15.5,4
2024-08-06 11:31:00,2.14,17.3,14.6,4
2024-08-06 11:32:00,0.920,14.2,13.7,4
2024-08-06 11:33:00,0.330,11.6,12.8,4
2024-08-06 11:34:00,0.290,9.52,12.1,4
2024-08-06 11:35:00,5.69,9.06,11.7,4
2024-08-06 11:37:00,47.6,23.1,16.4,4
2024-08-06 11:42:00,74.4,64.4,36.5,4
2024-08-06 11:43:00,50.7,59.5,36.4,4
2024-08-06 11:44:00,35.0,52.8,35.5,4
2024-08-06 11:47:00,41.7,47.2,36.4,4