"Time","memory used","memory buffers","memory cached","memory free"
2024-08-06 10:30:00,3.58 GiB,126 MiB,3.07 GiB,8.80 GiB
2024-08-06 10:31:00,3.63 GiB,128 MiB,3.07 GiB,8.75 GiB
2024-08-06 10:32:00,3.64 GiB,129 MiB,3.07 GiB,8.73 GiB
2024-08-06 10:33:00,3.65 GiB,130 MiB,3.07 GiB,8.72 GiB
2024-08-06 10:34:00,3.66 GiB,131 MiB,3.07 GiB,8.70 GiB
2024-08-06 10:35:00,3.67 GiB,132 MiB,3.08 GiB,8.69 GiB
2024-08-06 10:36:00,3.69 GiB,133 MiB,3.08 GiB,8.67 GiB
2024-08-06 10:37:00,3.71 GiB,134 MiB,3.08 GiB,8.65 GiB
2024-08-06 10:38:00,3.71 GiB,135 MiB,3.08 GiB,8.65 GiB
2024-08-06 10:39:00,3.70 GiB,136 MiB,3.08 GiB,8.66 GiB
2024-08-06 10:40:00,3.70 GiB,137 MiB,3.08 GiB,8.65 GiB
2024-08-06 10:41:00,3.71 GiB,138 MiB,3.08 GiB,8.64 GiB
2024-08-06 10:42:00,3.71 GiB,139 MiB,3.08 GiB,8.64 GiB
2024-08-06 10:43:00,3.73 GiB,140 MiB,3.08 GiB,8.62 GiB
2024-08-06 10:44:00,3.73 GiB,140 MiB,3.08 GiB,8.62 GiB
2024-08-06 10:45:00,3.72 GiB,141 MiB,3.08 GiB,8.62 GiB
2024-08-06 10:46:00,3.74 GiB,142 MiB,3.08 GiB,8.61 GiB
2024-08-06 10:47:00,3.72 GiB,142 MiB,3.08 GiB,8.63 GiB
2024-08-06 10:48:00,3.74 GiB,143 MiB,3.09 GiB,8.60 GiB
2024-08-06 10:49:00,3.71 GiB,144 MiB,3.09 GiB,8.63 GiB
2024-08-06 10:50:00,3.72 GiB,145 MiB,3.14 GiB,8.57 GiB
2024-08-06 10:51:00,3.74 GiB,145 MiB,3.14 GiB,8.54 GiB
2024-08-06 10:52:00,3.75 GiB,146 MiB,3.14 GiB,8.54 GiB
2024-08-06 10:53:00,3.76 GiB,147 MiB,3.14 GiB,8.52 GiB
2024-08-06 10:54:00,3.77 GiB,147 MiB,3.14 GiB,8.51 GiB
2024-08-06 10:55:00,3.78 GiB,148 MiB,3.14 GiB,8.50 GiB
2024-08-06 10:56:00,3.85 GiB,148 MiB,3.15 GiB,8.43 GiB
2024-08-06 10:57:00,4.57 GiB,151 MiB,3.15 GiB,7.69 GiB
2024-08-06 10:58:00,4.46 GiB,152 MiB,3.16 GiB,7.80 GiB
2024-08-06 10:59:00,4.47 GiB,152 MiB,3.16 GiB,7.79 GiB
2024-08-06 11:00:00,4.48 GiB,153 MiB,3.17 GiB,7.77 GiB
2024-08-06 11:01:00,4.49 GiB,153 MiB,3.17 GiB,7.76 GiB
2024-08-06 11:02:00,4.49 GiB,154 MiB,3.17 GiB,7.75 GiB
2024-08-06 11:03:00,4.49 GiB,154 MiB,3.18 GiB,7.75 GiB
2024-08-06 11:04:00,4.16 GiB,155 MiB,3.18 GiB,8.09 GiB
2024-08-06 11:05:00,3.87 GiB,155 MiB,3.17 GiB,8.38 GiB
2024-08-06 11:06:00,3.86 GiB,156 MiB,3.17 GiB,8.38 GiB
2024-08-06 11:07:00,5.59 GiB,159 MiB,3.18 GiB,6.64 GiB
2024-08-06 11:08:00,5.51 GiB,160 MiB,3.19 GiB,6.71 GiB
2024-08-06 11:09:00,5.54 GiB,160 MiB,3.21 GiB,6.66 GiB
2024-08-06 11:10:00,5.46 GiB,161 MiB,3.21 GiB,6.74 GiB
2024-08-06 11:11:00,5.45 GiB,161 MiB,3.22 GiB,6.74 GiB
2024-08-06 11:12:00,5.44 GiB,162 MiB,3.22 GiB,6.74 GiB
2024-08-06 11:13:00,5.57 GiB,162 MiB,3.23 GiB,6.61 GiB
2024-08-06 11:14:00,5.16 GiB,163 MiB,3.23 GiB,7.02 GiB
2024-08-06 11:15:00,4.06 GiB,163 MiB,3.22 GiB,8.13 GiB
2024-08-06 11:16:00,4.04 GiB,164 MiB,3.22 GiB,8.14 GiB
2024-08-06 11:17:00,4.05 GiB,164 MiB,3.22 GiB,8.13 GiB
2024-08-06 11:18:00,4.04 GiB,164 MiB,3.22 GiB,8.14 GiB
2024-08-06 11:19:00,4.02 GiB,164 MiB,3.23 GiB,8.16 GiB
2024-08-06 11:20:00,4.29 GiB,165 MiB,3.23 GiB,7.89 GiB
2024-08-06 11:21:00,6.31 GiB,169 MiB,3.24 GiB,5.85 GiB
2024-08-06 11:22:00,7.27 GiB,164 MiB,2.53 GiB,5.60 GiB
2024-08-06 11:23:00,7.66 GiB,158 MiB,2.18 GiB,5.57 GiB
2024-08-06 11:24:00,8.09 GiB,142 MiB,1.80 GiB,5.53 GiB
2024-08-06 11:25:00,8.50 GiB,119 MiB,1.46 GiB,5.49 GiB
2024-08-06 11:27:00,8.79 GiB,91.9 MiB,1.22 GiB,5.47 GiB
2024-08-06 11:28:00,7.87 GiB,126 MiB,1.58 GiB,5.99 GiB
2024-08-06 11:29:00,4.60 GiB,146 MiB,1.66 GiB,9.17 GiB
2024-08-06 11:30:00,4.50 GiB,147 MiB,1.66 GiB,9.26 GiB
2024-08-06 11:31:00,4.52 GiB,147 MiB,1.67 GiB,9.23 GiB
2024-08-06 11:32:00,4.51 GiB,147 MiB,1.68 GiB,9.24 GiB
2024-08-06 11:33:00,4.50 GiB,147 MiB,1.69 GiB,9.23 GiB
2024-08-06 11:34:00,4.47 GiB,147 MiB,1.70 GiB,9.26 GiB
2024-08-06 11:35:00,5.09 GiB,148 MiB,1.77 GiB,8.56 GiB
2024-08-06 11:37:00,8.32 GiB,132 MiB,1.56 GiB,5.56 GiB
2024-08-06 11:42:00,8.81 GiB,94.9 MiB,1.18 GiB,5.49 GiB
2024-08-06 11:43:00,8.83 GiB,94.7 MiB,1.14 GiB,5.51 GiB
2024-08-06 11:44:00,8.85 GiB,95.8 MiB,1.11 GiB,5.51 GiB
2024-08-06 11:47:00,8.83 GiB,94.3 MiB,1.15 GiB,5.50 GiB