"Time","192.168.49.2:10250"
2024-08-06 10:24:00,112 MiB
2024-08-06 10:25:00,116 MiB
2024-08-06 10:26:00,118 MiB
2024-08-06 10:27:00,121 MiB
2024-08-06 10:28:00,119 MiB
2024-08-06 10:29:00,120 MiB
2024-08-06 10:30:00,118 MiB
2024-08-06 10:31:00,119 MiB
2024-08-06 10:32:00,118 MiB
2024-08-06 10:33:00,119 MiB
2024-08-06 10:34:00,119 MiB
2024-08-06 10:35:00,117 MiB
2024-08-06 10:36:00,120 MiB
2024-08-06 10:37:00,121 MiB
2024-08-06 10:38:00,121 MiB
2024-08-06 10:39:00,120 MiB
2024-08-06 10:40:00,120 MiB
2024-08-06 10:41:00,123 MiB
2024-08-06 10:42:00,121 MiB
2024-08-06 10:43:00,122 MiB
2024-08-06 10:44:00,122 MiB
2024-08-06 10:45:00,120 MiB
2024-08-06 10:46:00,121 MiB
2024-08-06 10:47:00,120 MiB
2024-08-06 10:48:00,120 MiB
2024-08-06 10:49:00,120 MiB
2024-08-06 10:50:00,126 MiB
2024-08-06 10:51:00,125 MiB
2024-08-06 10:52:00,125 MiB
2024-08-06 10:53:00,126 MiB
2024-08-06 10:54:00,126 MiB
2024-08-06 10:55:00,125 MiB
2024-08-06 10:56:00,124 MiB
2024-08-06 10:57:00,125 MiB
2024-08-06 10:58:00,124 MiB
2024-08-06 10:59:00,124 MiB
2024-08-06 11:00:00,125 MiB
2024-08-06 11:01:00,124 MiB
2024-08-06 11:02:00,128 MiB
2024-08-06 11:03:00,126 MiB
2024-08-06 11:04:00,127 MiB
2024-08-06 11:05:00,126 MiB
2024-08-06 11:06:00,126 MiB
2024-08-06 11:07:00,126 MiB
2024-08-06 11:08:00,129 MiB
2024-08-06 11:09:00,130 MiB
2024-08-06 11:10:00,132 MiB
2024-08-06 11:11:00,132 MiB
2024-08-06 11:12:00,134 MiB
2024-08-06 11:13:00,133 MiB
2024-08-06 11:14:00,135 MiB
2024-08-06 11:15:00,132 MiB
2024-08-06 11:16:00,131 MiB
2024-08-06 11:17:00,131 MiB
2024-08-06 11:18:00,129 MiB
2024-08-06 11:19:00,128 MiB
2024-08-06 11:20:00,127 MiB
2024-08-06 11:28:00,115 MiB
2024-08-06 11:29:00,113 MiB
2024-08-06 11:30:00,109 MiB
2024-08-06 11:31:00,108 MiB
2024-08-06 11:32:00,107 MiB
2024-08-06 11:33:00,104 MiB
2024-08-06 11:34:00,106 MiB
2024-08-06 11:35:00,107 MiB
2024-08-06 13:13:00,84.7 MiB
2024-08-06 13:14:00,92.9 MiB
2024-08-06 13:15:00,98.7 MiB
2024-08-06 13:16:00,98.3 MiB
2024-08-06 13:17:00,101 MiB
2024-08-06 13:18:00,99.5 MiB
2024-08-06 13:19:00,98.3 MiB
2024-08-06 13:20:00,102 MiB
2024-08-06 13:21:00,101 MiB
2024-08-06 13:22:00,103 MiB
2024-08-06 13:23:00,100 MiB
2024-08-06 13:24:00,105 MiB
2024-08-06 13:25:00,104 MiB
2024-08-06 13:26:00,104 MiB
2024-08-06 13:27:00,104 MiB
2024-08-06 13:28:00,104 MiB
2024-08-06 13:29:00,104 MiB
2024-08-06 13:30:00,103 MiB
2024-08-06 13:31:00,105 MiB
2024-08-06 13:32:00,105 MiB
2024-08-06 13:33:00,105 MiB
2024-08-06 13:34:00,104 MiB
2024-08-06 13:35:00,105 MiB
2024-08-06 13:36:00,104 MiB
2024-08-06 13:37:00,106 MiB
2024-08-06 13:38:00,104 MiB
2024-08-06 13:39:00,106 MiB
2024-08-06 13:40:00,105 MiB
2024-08-06 13:41:00,105 MiB
2024-08-06 13:42:00,104 MiB
2024-08-06 13:43:00,105 MiB
2024-08-06 13:44:00,106 MiB
2024-08-06 13:45:00,106 MiB
2024-08-06 13:46:00,106 MiB
2024-08-06 13:47:00,107 MiB
2024-08-06 13:48:00,106 MiB
2024-08-06 13:49:00,107 MiB