"Time","192.168.49.2:9100 Receive"
2024-08-06 11:02:00,1.11 MB/s
2024-08-06 11:03:00,1.08 MB/s
2024-08-06 11:04:00,851 kB/s
2024-08-06 11:05:00,621 kB/s
2024-08-06 11:06:00,390 kB/s
2024-08-06 11:07:00,338 kB/s
2024-08-06 11:08:00,642 kB/s
2024-08-06 11:09:00,1.01 MB/s
2024-08-06 11:10:00,1.40 MB/s
2024-08-06 11:11:00,1.72 MB/s
2024-08-06 11:12:00,1.79 MB/s
2024-08-06 11:13:00,1.79 MB/s
2024-08-06 11:14:00,1.48 MB/s
2024-08-06 11:15:00,1.09 MB/s
2024-08-06 11:16:00,699 kB/s
2024-08-06 11:17:00,324 kB/s
2024-08-06 11:18:00,73.3 kB/s
2024-08-06 11:19:00,64.7 kB/s
2024-08-06 11:20:00,75.1 kB/s
2024-08-06 11:21:00,332 kB/s
2024-08-06 11:22:00,697 kB/s
2024-08-06 11:23:00,1.07 MB/s
2024-08-06 11:24:00,1.45 MB/s
2024-08-06 11:25:00,1.77 MB/s
2024-08-06 11:26:00,1.68 MB/s
2024-08-06 11:27:00,1.50 MB/s
2024-08-06 11:28:00,1.49 MB/s
2024-08-06 11:29:00,1.10 MB/s
2024-08-06 11:30:00,697 kB/s
2024-08-06 11:31:00,75.2 kB/s
2024-08-06 11:32:00,61.0 kB/s
2024-08-06 11:33:00,63.4 kB/s
2024-08-06 11:34:00,63.3 kB/s
2024-08-06 11:35:00,97.6 kB/s
2024-08-06 11:36:00,213 kB/s
2024-08-06 11:37:00,667 kB/s
2024-08-06 11:38:00,846 kB/s
2024-08-06 11:39:00,846 kB/s
2024-08-06 11:40:00,846 kB/s
2024-08-06 11:41:00,846 kB/s
2024-08-06 11:42:00,1.17 MB/s
2024-08-06 11:43:00,18.9 kB/s
2024-08-06 11:44:00,28.9 kB/s
2024-08-06 11:45:00,28.8 kB/s
2024-08-06 11:46:00,28.8 kB/s
2024-08-06 11:47:00,29.7 kB/s
2024-08-06 11:48:00,29.7 kB/s
2024-08-06 11:49:00,29.7 kB/s
2024-08-06 11:50:00,29.7 kB/s
2024-08-06 11:51:00,29.7 kB/s