"Time","192.168.49.2:10250 pod","192.168.49.2:10250 worker"
2024-08-06 10:24:00,NaN,10 s
2024-08-06 10:25:00,NaN,10 s
2024-08-06 10:26:00,2.98 s,2.35 s
2024-08-06 10:27:00,NaN,4.95 ms
2024-08-06 10:28:00,1.98 s,10 s
2024-08-06 10:29:00,NaN,10 s
2024-08-06 10:30:00,NaN,10 s
2024-08-06 10:31:00,NaN,4.95 ms
2024-08-06 10:32:00,NaN,4.95 ms
2024-08-06 10:33:00,NaN,4.95 ms
2024-08-06 10:34:00,NaN,4.95 ms
2024-08-06 10:35:00,NaN,8.15 ms
2024-08-06 10:36:00,NaN,8.30 ms
2024-08-06 10:37:00,NaN,4.95 ms
2024-08-06 10:38:00,NaN,4.95 ms
2024-08-06 10:39:00,NaN,4.95 ms
2024-08-06 10:40:00,NaN,4.95 ms
2024-08-06 10:41:00,NaN,4.95 ms
2024-08-06 10:42:00,NaN,4.95 ms
2024-08-06 10:43:00,NaN,4.95 ms
2024-08-06 10:44:00,NaN,4.95 ms
2024-08-06 10:45:00,NaN,4.95 ms
2024-08-06 10:46:00,NaN,4.95 ms
2024-08-06 10:47:00,NaN,19.8 ms
2024-08-06 10:48:00,NaN,4.95 ms
2024-08-06 10:49:00,NaN,4.95 ms
2024-08-06 10:50:00,NaN,4.95 ms
2024-08-06 10:51:00,NaN,8.30 ms
2024-08-06 10:52:00,NaN,8.25 ms
2024-08-06 10:53:00,NaN,4.95 ms
2024-08-06 10:54:00,NaN,4.95 ms
2024-08-06 10:55:00,NaN,4.95 ms
2024-08-06 10:56:00,1.97 s,2.36 s
2024-08-06 10:57:00,2.94 s,2.46 s
2024-08-06 10:58:00,NaN,10 s
2024-08-06 10:59:00,NaN,10 s
2024-08-06 11:00:00,NaN,22.0 ms
2024-08-06 11:01:00,NaN,19.0 ms
2024-08-06 11:02:00,NaN,9.35 ms
2024-08-06 11:03:00,NaN,9.37 ms
2024-08-06 11:04:00,NaN,10 s
2024-08-06 11:05:00,NaN,10 s
2024-08-06 11:06:00,NaN,4.95 ms
2024-08-06 11:07:00,17.8 s,9.47 s
2024-08-06 11:08:00,19.1 s,10 s
2024-08-06 11:09:00,5.97 s,10 s
2024-08-06 11:10:00,4.98 s,10 s
2024-08-06 11:11:00,5.96 s,10 s
2024-08-06 11:12:00,5.99 s,10 s
2024-08-06 11:13:00,5.96 s,10 s
2024-08-06 11:14:00,5.98 s,10 s
2024-08-06 11:15:00,NaN,10 s
2024-08-06 11:16:00,NaN,10 s
2024-08-06 11:17:00,NaN,19.6 ms
2024-08-06 11:18:00,NaN,4.95 ms
2024-08-06 11:19:00,NaN,4.95 ms
2024-08-06 11:20:00,2.96 s,2.45 s
2024-08-06 11:21:00,17.3 s,9.73 s
2024-08-06 11:22:00,57.9 s,10 s
2024-08-06 11:29:00,NaN,10 s
2024-08-06 11:30:00,NaN,4.95 ms
2024-08-06 11:31:00,NaN,4.95 ms
2024-08-06 11:32:00,NaN,4.95 ms
2024-08-06 11:33:00,NaN,4.95 ms
2024-08-06 11:34:00,NaN,4.95 ms
2024-08-06 11:35:00,7.66 s,8.60 s
2024-08-06 11:36:00,40.2 s,10 s
2024-08-06 13:14:00,NaN,21.3 ms
2024-08-06 13:15:00,2.98 s,2.34 s
2024-08-06 13:16:00,2.98 s,2.36 s
2024-08-06 13:17:00,NaN,10 s
2024-08-06 13:18:00,NaN,4.95 ms
2024-08-06 13:19:00,NaN,4.95 ms
2024-08-06 13:20:00,NaN,4.95 ms
2024-08-06 13:21:00,NaN,4.95 ms
2024-08-06 13:22:00,NaN,8.20 ms
2024-08-06 13:23:00,NaN,8.45 ms
2024-08-06 13:24:00,NaN,4.95 ms
2024-08-06 13:25:00,NaN,4.95 ms
2024-08-06 13:26:00,NaN,8.40 ms
2024-08-06 13:27:00,NaN,9.10 ms
2024-08-06 13:28:00,NaN,8.25 ms
2024-08-06 13:29:00,NaN,9.10 ms
2024-08-06 13:30:00,NaN,9.40 ms
2024-08-06 13:31:00,NaN,8.30 ms
2024-08-06 13:32:00,NaN,4.95 ms
2024-08-06 13:33:00,NaN,8.30 ms
2024-08-06 13:34:00,NaN,4.95 ms
2024-08-06 13:35:00,NaN,8.50 ms
2024-08-06 13:36:00,NaN,8.30 ms
2024-08-06 13:37:00,NaN,8.30 ms
2024-08-06 13:38:00,NaN,4.95 ms
2024-08-06 13:39:00,NaN,19.9 ms
2024-08-06 13:40:00,NaN,19.9 ms
2024-08-06 13:41:00,NaN,4.95 ms
2024-08-06 13:42:00,NaN,20.1 ms
2024-08-06 13:43:00,NaN,19.4 ms
2024-08-06 13:44:00,NaN,4.95 ms
2024-08-06 13:45:00,NaN,4.95 ms
2024-08-06 13:46:00,NaN,4.95 ms
2024-08-06 13:47:00,NaN,4.95 ms