"Time","round(sum(rate(activator_request_count{namespace_name=""default"", revision_name=~""fastapi-app-00008"", configuration_name=~""fastapi-app""}[1m])), 0.001)"
2024-08-06 05:56:30,93.8 ops/s
2024-08-06 05:57:00,156 ops/s
2024-08-06 05:57:30,132 ops/s
2024-08-06 05:58:00,132 ops/s
2024-08-06 05:58:30,134 ops/s
2024-08-06 05:59:00,133 ops/s
2024-08-06 05:59:30,133 ops/s
2024-08-06 06:00:00,132 ops/s
2024-08-06 06:00:30,133 ops/s
2024-08-06 06:01:00,134 ops/s
2024-08-06 06:01:30,134 ops/s
2024-08-06 06:02:00,127 ops/s
2024-08-06 06:02:30,133 ops/s
2024-08-06 06:03:00,74.3 ops/s
2024-08-06 06:03:30,0 ops/s
2024-08-06 06:04:00,0 ops/s
2024-08-06 06:04:30,0 ops/s
2024-08-06 06:05:00,0 ops/s
2024-08-06 06:05:30,0 ops/s
2024-08-06 06:06:00,0 ops/s
2024-08-06 06:06:30,56.6 ops/s
2024-08-06 06:07:00,157 ops/s
2024-08-06 06:07:30,229 ops/s
2024-08-06 06:08:00,207 ops/s
2024-08-06 06:08:30,228 ops/s
2024-08-06 06:09:00,203 ops/s
2024-08-06 06:09:30,211 ops/s
2024-08-06 06:10:00,227 ops/s
2024-08-06 06:10:30,203 ops/s
2024-08-06 06:11:00,212 ops/s
2024-08-06 06:11:30,241 ops/s
2024-08-06 06:12:00,203 ops/s
2024-08-06 06:12:30,222 ops/s
2024-08-06 06:13:00,198 ops/s
2024-08-06 06:13:30,22.7 ops/s
2024-08-06 06:14:00,0 ops/s
2024-08-06 06:14:30,0 ops/s
2024-08-06 06:15:00,0 ops/s
2024-08-06 06:15:30,0 ops/s
2024-08-06 06:16:00,0 ops/s
2024-08-06 06:16:30,0 ops/s
2024-08-06 06:17:00,0 ops/s
2024-08-06 06:17:30,0 ops/s
2024-08-06 06:18:00,0 ops/s
2024-08-06 06:18:30,0 ops/s
2024-08-06 06:19:00,0 ops/s
2024-08-06 06:19:30,0 ops/s
2024-08-06 06:20:00,20.8 ops/s
2024-08-06 06:20:30,105 ops/s
2024-08-06 06:21:00,161 ops/s
2024-08-06 06:21:30,190 ops/s
2024-08-06 06:22:00,213 ops/s
2024-08-06 06:22:30,208 ops/s
2024-08-06 06:23:00,211 ops/s
2024-08-06 06:23:30,201 ops/s
2024-08-06 06:24:00,225 ops/s
2024-08-06 06:24:30,230 ops/s
2024-08-06 06:25:00,234 ops/s
2024-08-06 06:25:30,239 ops/s
2024-08-06 06:26:30,33.1 ops/s
2024-08-06 06:27:00,122 ops/s
2024-08-06 06:28:30,0 ops/s
2024-08-06 06:29:00,0 ops/s
2024-08-06 06:29:30,0 ops/s
2024-08-06 06:30:00,0 ops/s
2024-08-06 06:30:30,0 ops/s
2024-08-06 06:31:00,0 ops/s
2024-08-06 06:31:30,0 ops/s
2024-08-06 06:32:00,0 ops/s
2024-08-06 06:32:30,0 ops/s
2024-08-06 06:33:00,0 ops/s
2024-08-06 06:33:30,0 ops/s
2024-08-06 06:34:00,0 ops/s
2024-08-06 06:34:30,0 ops/s
2024-08-06 06:35:00,49.2 ops/s
2024-08-06 06:35:30,115 ops/s
2024-08-06 06:36:00,142 ops/s
2024-08-06 06:36:30,166 ops/s
2024-08-06 06:37:00,172 ops/s
2024-08-06 06:37:30,187 ops/s
2024-08-06 06:42:00,0 ops/s
2024-08-06 06:42:30,0 ops/s
2024-08-06 06:43:00,0 ops/s
2024-08-06 06:43:30,0 ops/s
2024-08-06 06:44:00,0 ops/s
2024-08-06 06:44:30,0 ops/s
2024-08-06 06:46:30,0 ops/s
2024-08-06 06:47:00,0 ops/s