"Time","00008 (p50)","00008 (p90)","00008 (p95)","00008 (p99)"
2024-08-06 05:56:30,304 ms,577 ms,669 ms,798 ms
2024-08-06 05:57:00,224 ms,388 ms,437 ms,553 ms
2024-08-06 05:57:30,287 ms,464 ms,518 ms,592 ms
2024-08-06 05:58:00,261 ms,439 ms,482 ms,591 ms
2024-08-06 05:58:30,290 ms,446 ms,493 ms,585 ms
2024-08-06 05:59:00,291 ms,451 ms,497 ms,599 ms
2024-08-06 05:59:30,286 ms,458 ms,497 ms,587 ms
2024-08-06 06:00:00,285 ms,462 ms,519 ms,591 ms
2024-08-06 06:00:30,286 ms,455 ms,506 ms,626 ms
2024-08-06 06:01:00,284 ms,451 ms,496 ms,583 ms
2024-08-06 06:01:30,284 ms,446 ms,486 ms,589 ms
2024-08-06 06:02:00,296 ms,476 ms,541 ms,671 ms
2024-08-06 06:02:30,267 ms,442 ms,491 ms,579 ms
2024-08-06 06:03:00,280 ms,477 ms,548 ms,670 ms
2024-08-06 06:03:30,NaN,NaN,NaN,NaN
2024-08-06 06:04:00,NaN,NaN,NaN,NaN
2024-08-06 06:04:30,NaN,NaN,NaN,NaN
2024-08-06 06:05:00,NaN,NaN,NaN,NaN
2024-08-06 06:05:30,NaN,NaN,NaN,NaN
2024-08-06 06:06:00,NaN,NaN,NaN,NaN
2024-08-06 06:06:30,661 ms,1.36 s,1.69 s,1.94 s
2024-08-06 06:07:00,540 ms,889 ms,999 ms,1.80 s
2024-08-06 06:07:30,341 ms,562 ms,639 ms,791 ms
2024-08-06 06:08:00,382 ms,645 ms,722 ms,900 ms
2024-08-06 06:08:30,340 ms,579 ms,648 ms,781 ms
2024-08-06 06:09:00,390 ms,666 ms,752 ms,893 ms
2024-08-06 06:09:30,367 ms,642 ms,722 ms,876 ms
2024-08-06 06:10:00,345 ms,572 ms,648 ms,785 ms
2024-08-06 06:10:30,400 ms,660 ms,738 ms,925 ms
2024-08-06 06:11:00,367 ms,632 ms,726 ms,892 ms
2024-08-06 06:11:30,323 ms,521 ms,584 ms,697 ms
2024-08-06 06:12:00,391 ms,642 ms,714 ms,857 ms
2024-08-06 06:12:30,354 ms,591 ms,661 ms,781 ms
2024-08-06 06:13:00,381 ms,677 ms,772 ms,931 ms
2024-08-06 06:13:30,371 ms,582 ms,629 ms,703 ms
2024-08-06 06:14:00,NaN,NaN,NaN,NaN
2024-08-06 06:14:30,NaN,NaN,NaN,NaN
2024-08-06 06:15:00,NaN,NaN,NaN,NaN
2024-08-06 06:15:30,NaN,NaN,NaN,NaN
2024-08-06 06:16:00,NaN,NaN,NaN,NaN
2024-08-06 06:16:30,NaN,NaN,NaN,NaN
2024-08-06 06:17:00,NaN,NaN,NaN,NaN
2024-08-06 06:17:30,NaN,NaN,NaN,NaN
2024-08-06 06:18:00,NaN,NaN,NaN,NaN
2024-08-06 06:18:30,NaN,NaN,NaN,NaN
2024-08-06 06:19:00,NaN,NaN,NaN,NaN
2024-08-06 06:19:30,NaN,NaN,NaN,NaN
2024-08-06 06:20:00,529 ms,997 ms,1.50 s,1.93 s
2024-08-06 06:20:30,952 ms,1.77 s,1.89 s,1.98 s
2024-08-06 06:21:00,1.14 s,1.84 s,1.93 s,2.00 s
2024-08-06 06:21:30,968 ms,1.78 s,1.89 s,1.98 s
2024-08-06 06:22:00,856 ms,1.62 s,1.81 s,1.96 s
2024-08-06 06:22:30,868 ms,1.65 s,1.83 s,1.97 s
2024-08-06 06:23:00,859 ms,1.62 s,1.81 s,1.96 s
2024-08-06 06:23:30,888 ms,1.70 s,1.85 s,1.97 s
2024-08-06 06:24:00,807 ms,1.48 s,1.74 s,1.95 s
2024-08-06 06:24:30,773 ms,1.43 s,1.71 s,1.94 s
2024-08-06 06:25:00,755 ms,1.39 s,1.69 s,1.94 s
2024-08-06 06:25:30,740 ms,1.35 s,1.67 s,1.93 s
2024-08-06 06:26:30,745 ms,1.43 s,1.71 s,1.94 s
2024-08-06 06:27:00,778 ms,1.55 s,1.78 s,1.96 s
2024-08-06 06:28:30,NaN,NaN,NaN,NaN
2024-08-06 06:29:00,NaN,NaN,NaN,NaN
2024-08-06 06:29:30,NaN,NaN,NaN,NaN
2024-08-06 06:30:00,NaN,NaN,NaN,NaN
2024-08-06 06:30:30,NaN,NaN,NaN,NaN
2024-08-06 06:31:00,NaN,NaN,NaN,NaN
2024-08-06 06:31:30,NaN,NaN,NaN,NaN
2024-08-06 06:32:00,NaN,NaN,NaN,NaN
2024-08-06 06:32:30,NaN,NaN,NaN,NaN
2024-08-06 06:33:00,NaN,NaN,NaN,NaN
2024-08-06 06:33:30,NaN,NaN,NaN,NaN
2024-08-06 06:34:00,NaN,NaN,NaN,NaN
2024-08-06 06:34:30,NaN,NaN,NaN,NaN
2024-08-06 06:35:00,966 ms,1.80 s,1.90 s,1.99 s
2024-08-06 06:35:30,1.48 s,2.57 s,3.78 s,4.76 s
2024-08-06 06:36:00,2.31 s,4.46 s,4.73 s,4.95 s
2024-08-06 06:36:30,3.03 s,4.61 s,4.80 s,4.96 s
2024-08-06 06:37:00,2.89 s,4.58 s,4.79 s,4.96 s
2024-08-06 06:37:30,2.26 s,4.45 s,4.73 s,4.95 s
2024-08-06 06:42:00,NaN,NaN,NaN,NaN
2024-08-06 06:42:30,NaN,NaN,NaN,NaN
2024-08-06 06:43:00,NaN,NaN,NaN,NaN
2024-08-06 06:43:30,NaN,NaN,NaN,NaN
2024-08-06 06:44:00,NaN,NaN,NaN,NaN
2024-08-06 06:44:30,NaN,NaN,NaN,NaN
2024-08-06 06:46:30,NaN,NaN,NaN,NaN
2024-08-06 06:47:00,NaN,NaN,NaN,NaN