"Time","Cores requested","Cores used"
2024-08-06 05:56:00,0.0500,0.0664
2024-08-06 05:56:30,0.150,0.221
2024-08-06 05:57:00,0.150,0.372
2024-08-06 05:57:30,0.150,0.501
2024-08-06 05:58:00,0.125,0.141
2024-08-06 05:58:30,0.125,0.717
2024-08-06 05:59:00,0.125,0.536
2024-08-06 05:59:30,0.125,0.427
2024-08-06 06:00:00,0.125,0.642
2024-08-06 06:00:30,0.125,0.381
2024-08-06 06:01:00,0.125,0.434
2024-08-06 06:01:30,0.125,0.672
2024-08-06 06:02:00,0.125,0.673
2024-08-06 06:02:30,0.125,0.571
2024-08-06 06:03:00,0.125,0.421
2024-08-06 06:03:30,0.100,0.00604
2024-08-06 06:04:00,0.0500,0.00379
2024-08-06 06:06:30,0.200,
2024-08-06 06:07:00,0.275,0.120
2024-08-06 06:07:30,0.300,1.21
2024-08-06 06:08:00,0.275,1.01
2024-08-06 06:08:30,0.275,0.911
2024-08-06 06:09:00,0.300,1.03
2024-08-06 06:09:30,0.275,1.02
2024-08-06 06:10:00,0.275,1.14
2024-08-06 06:10:30,0.300,0.707
2024-08-06 06:11:00,0.275,0.958
2024-08-06 06:11:30,0.275,1.06
2024-08-06 06:12:00,0.250,0.789
2024-08-06 06:12:30,0.275,1.03
2024-08-06 06:13:00,0.300,0.986
2024-08-06 06:13:30,0.275,0.239
2024-08-06 06:14:00,0.150,0.00788
2024-08-06 06:14:30,0.0250,
2024-08-06 06:20:00,0.100,
2024-08-06 06:20:30,0.400,0.427
2024-08-06 06:21:00,0.600,0.424
2024-08-06 06:21:30,0.750,1.10
2024-08-06 06:22:00,0.775,1.05
2024-08-06 06:22:30,0.775,0.964
2024-08-06 06:23:00,0.700,0.934
2024-08-06 06:23:30,0.650,1.08
2024-08-06 06:24:00,0.575,1.15
2024-08-06 06:24:30,0.575,1.50
2024-08-06 06:25:00,0.575,1.29
2024-08-06 06:25:30,0.575,1.30
2024-08-06 06:26:00,,0.347
2024-08-06 06:26:30,0.575,
2024-08-06 06:27:00,0.575,
2024-08-06 06:27:30,0.575,
2024-08-06 06:28:00,0.575,
2024-08-06 06:28:30,0.100,
2024-08-06 06:29:00,0.100,
2024-08-06 06:29:30,0.100,
2024-08-06 06:30:00,0.100,
2024-08-06 06:30:30,0.100,
2024-08-06 06:31:00,0.100,
2024-08-06 06:31:30,0.100,
2024-08-06 06:35:00,0.275,0.0737
2024-08-06 06:35:30,0.675,0.914
2024-08-06 06:36:00,1.08,0.749
2024-08-06 06:36:30,1.22,0.727
2024-08-06 06:37:00,1.22,1.27
2024-08-06 06:37:30,1.22,1.26
2024-08-06 06:38:00,1.22,
2024-08-06 06:38:30,1.22,
2024-08-06 06:39:00,1.22,
2024-08-06 06:39:30,1.22,
2024-08-06 06:40:00,1.22,
2024-08-06 06:40:30,1.22,
2024-08-06 06:41:00,1.22,
2024-08-06 06:41:30,1.22,
2024-08-06 06:42:00,1.55,
2024-08-06 06:42:30,1.55,
2024-08-06 06:43:00,1.55,
2024-08-06 06:43:30,1.55,
2024-08-06 06:44:00,1.55,
2024-08-06 06:45:30,1.55,
2024-08-06 06:46:00,1.55,
2024-08-06 06:46:30,1.55,
2024-08-06 06:47:00,1.55,